City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Khorixas,NA,80.17,broken clouds,-20.3667,14.9667,Khorixas Lodge
1,Cayenne,GF,82.4,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
2,Itaituba,BR,81.59,overcast clouds,-4.2761,-55.9836,Hotel Campos
3,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Rikitea,PF,77.52,broken clouds,-23.1203,-134.9692,Pension Maro'i
5,Cairns,AU,77.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
6,Buala,SB,81.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
7,Georgetown,SH,79.41,scattered clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
8,Lázaro Cárdenas,MX,84.34,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
9,Bambous Virieux,MU,81.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
10,Codajás,BR,79.88,overcast clouds,-3.8367,-62.0569,Hotel Tamires
11,Mahébourg,MU,81.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Bubaque,GW,75.6,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
13,Carnarvon,AU,75.2,few clouds,-24.8667,113.6333,Hospitality Carnarvon
14,Port Blair,IN,78.96,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
15,Quatre Cocos,MU,81.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
16,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Sibolga,ID,76.12,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
18,Vila Velha,BR,80.6,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
19,Atuona,PF,80.71,broken clouds,-9.8,-139.0333,Villa Enata
20,Loreto,MX,79.38,scattered clouds,22.2667,-101.9667,José de Jesús Velásquez mora
22,Souillac,MU,81.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,Faanui,PF,82.08,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Chilca,PE,80.6,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
