,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grindavik,IS,63.8424,-22.4338,17.6,53,75,14.97,broken clouds
1,Jamestown,SH,-15.9387,-5.7168,71.42,76,3,17.0,clear sky
2,Khorixas,NA,-20.3667,14.9667,80.17,37,58,7.87,broken clouds
3,Cayenne,GF,4.9333,-52.3333,82.4,83,90,9.22,overcast clouds
4,Khatanga,RU,71.9667,102.5,-11.61,86,10,9.01,clear sky
5,Ulaanbaatar,MN,47.9077,106.8832,17.6,79,0,2.57,clear sky
6,Cape Town,ZA,-33.9258,18.4232,66.0,88,20,19.57,few clouds
7,Hermanus,ZA,-34.4187,19.2345,64.99,92,96,12.3,light rain
8,Atagay,RU,55.1033,99.3875,29.86,99,97,0.92,overcast clouds
9,Qaanaaq,GL,77.484,-69.3632,-12.1,67,26,6.29,scattered clouds
10,Punta Arenas,CL,-53.15,-70.9167,48.2,57,0,21.85,clear sky
11,Itaituba,BR,-4.2761,-55.9836,81.59,80,100,2.73,overcast clouds
12,Fortuna,US,40.5982,-124.1573,54.0,81,90,10.36,overcast clouds
13,Hilo,US,19.7297,-155.09,75.2,64,90,8.05,moderate rain
14,Rikitea,PF,-23.1203,-134.9692,77.52,68,79,17.49,broken clouds
15,Champerico,GT,14.3,-91.9167,93.2,52,20,13.8,few clouds
16,Cairns,AU,-16.9167,145.7667,77.0,83,90,3.44,overcast clouds
17,Buala,SB,-8.145,159.5921,81.75,82,78,3.85,light rain
18,Hay River,CA,60.8156,-115.7999,17.6,62,100,10.36,overcast clouds
19,Skala Fourkas,GR,39.9998,23.3841,48.0,75,100,10.0,overcast clouds
20,Georgetown,SH,-7.9333,-14.4167,79.41,71,38,14.74,scattered clouds
21,Lázaro Cárdenas,MX,17.9583,-102.2,84.34,49,90,11.14,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,46.4,57,40,10.36,scattered clouds
23,Balakovo,RU,52.0278,47.8007,29.37,93,51,4.83,broken clouds
24,Oktyabr'skoye,RU,43.0645,44.7417,44.6,70,25,8.95,scattered clouds
25,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,52,5.99,broken clouds
26,Orlik,RU,52.5178,99.825,7.81,94,36,2.3,scattered clouds
27,Chokurdakh,RU,70.6333,147.9167,-25.94,100,53,4.81,broken clouds
28,Tuatapere,NZ,-46.1333,167.6833,54.0,84,97,20.0,light rain
29,Storsteinnes,NO,69.2408,19.2344,30.2,93,20,3.44,few clouds
30,Albany,AU,-35.0169,117.8917,66.2,94,90,3.44,overcast clouds
31,Preobrazhenka,UA,47.5719,35.8167,33.8,93,100,4.47,mist
32,Thompson,CA,55.7435,-97.8558,42.8,28,40,2.3,scattered clouds
33,Igunga,TZ,-4.2833,33.8833,69.69,78,100,7.4,overcast clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,86.0,66,20,16.11,few clouds
35,Santa Maria da Boa Vista,BR,-8.8078,-39.8256,87.35,27,40,10.2,scattered clouds
36,Codajás,BR,-3.8367,-62.0569,79.88,90,99,1.88,overcast clouds
37,Busselton,AU,-33.65,115.3333,63.0,92,1,1.19,clear sky
38,Marsh Harbour,BS,26.5412,-77.0636,67.37,60,100,15.41,overcast clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,75,19.57,snow
40,Fairbanks,US,64.8378,-147.7164,33.01,93,90,11.5,light snow
41,Dikson,RU,73.5069,80.5464,8.04,89,100,7.18,overcast clouds
42,Taltal,CL,-25.4,-70.4833,68.2,70,19,5.14,few clouds
43,Nikolskoye,RU,59.7035,30.7861,39.99,75,0,6.71,clear sky
44,Taywarah,AF,33.35,64.4167,39.34,30,0,2.24,clear sky
45,Broome,AU,-17.9667,122.2333,71.6,64,3,5.75,clear sky
46,Dingle,IE,52.1408,-10.2689,46.4,90,50,9.19,scattered clouds
47,Carballo,ES,43.213,-8.691,53.6,66,0,2.3,clear sky
48,Makat,KZ,47.6469,53.3463,47.12,72,82,11.3,broken clouds
49,Mahébourg,MU,-20.4081,57.7,81.0,78,42,5.99,scattered clouds
50,Norman Wells,CA,65.282,-126.8329,19.4,58,75,11.5,broken clouds
51,Aklavik,CA,68.2191,-135.0107,12.2,62,100,5.75,overcast clouds
52,Haines Junction,CA,60.7522,-137.5108,39.2,35,100,3.44,overcast clouds
53,Phonhong,LA,18.5007,102.4166,74.37,86,100,1.99,overcast clouds
54,Esperance,AU,-33.8667,121.9,60.8,88,40,4.61,scattered clouds
55,Chui,UY,-33.6971,-53.4616,70.11,81,16,12.12,few clouds
56,Bubaque,GW,11.2833,-15.8333,75.6,74,19,18.84,few clouds
57,Hobart,AU,-42.8794,147.3294,54.0,71,20,6.91,few clouds
58,Carnarvon,AU,-24.8667,113.6333,75.2,83,12,16.11,few clouds
59,Port Blair,IN,11.6667,92.75,78.96,80,22,2.51,few clouds
60,Okahandja,NA,-21.9833,16.9167,68.0,54,53,1.99,broken clouds
61,Wanning,CN,18.8003,110.3967,74.59,91,5,5.01,clear sky
62,Litovko,RU,49.2361,135.1742,31.55,69,79,0.54,broken clouds
63,Bredasdorp,ZA,-34.5322,20.0403,64.4,94,100,9.22,light rain
