City_ID,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
0,Along,IN,2021-03-30 06:08:27,28.1667,94.7667,85.44,22,99,6.93
1,Ushuaia,AR,2021-03-30 06:00:04,-54.8,-68.3,48.2,87,20,2.3
2,Albany,US,2021-03-30 05:57:40,42.6001,-73.9662,30.99,56,0,2.75
3,Bredasdorp,ZA,2021-03-30 06:00:50,-34.5322,20.0403,51.8,93,75,4.61
4,Hobart,AU,2021-03-30 05:55:41,-42.8794,147.3294,69.8,49,20,11.5
5,New Norfolk,AU,2021-03-30 06:00:46,-42.7826,147.0587,69.01,57,74,4.0
6,Puerto Ayora,EC,2021-03-30 06:00:19,-0.7393,-90.3518,76.44,85,16,4.16
7,Punta Arenas,CL,2021-03-30 06:08:28,-53.15,-70.9167,48.2,93,75,8.05
8,Cape Town,ZA,2021-03-30 06:08:28,-33.9258,18.4232,66.0,88,75,11.5
9,Mirpur Khas,PK,2021-03-30 06:08:29,25.5251,69.0159,97.9,20,4,2.82
10,Ancud,CL,2021-03-30 06:08:29,-41.8697,-73.8203,55.99,94,16,14.97
11,Mount Isa,AU,2021-03-30 06:08:29,-20.7333,139.5,93.2,27,21,10.36
12,Faanui,PF,2021-03-30 06:00:45,-16.4833,-151.75,82.35,72,63,12.35
13,George Town,MY,2021-03-30 06:00:14,5.4112,100.3354,89.6,66,40,2.3
14,Busselton,AU,2021-03-30 06:00:55,-33.65,115.3333,84.99,43,16,5.01
15,San Jerónimo,PE,2021-03-30 06:08:30,-11.9472,-75.2829,47.89,86,99,1.25
16,Rikitea,PF,2021-03-30 06:00:08,-23.1203,-134.9692,78.94,70,2,17.2
17,Carnarvon,AU,2021-03-30 06:01:28,-24.8667,113.6333,87.8,70,34,13.8
18,Constitución,CL,2021-03-30 05:57:48,-35.3333,-72.4167,52.74,88,5,3.58
19,Hermanus,ZA,2021-03-30 05:57:43,-34.4187,19.2345,61.0,95,68,4.99
20,Butaritari,KI,2021-03-30 06:00:56,3.0707,172.7902,81.86,78,40,16.51
21,Saint Paul Harbor,US,2021-03-30 06:02:08,57.79,-152.4072,39.2,81,90,8.05
22,Vaini,TO,2021-03-30 06:01:00,-21.2,-175.2,82.4,83,40,8.05
23,Chui,UY,2021-03-30 06:01:20,-33.6971,-53.4616,64.83,89,76,8.39
24,Cidreira,BR,2021-03-30 06:01:31,-30.1811,-50.2056,64.69,77,19,13.69
25,Kapaa,US,2021-03-30 06:00:48,22.0752,-159.319,71.6,88,75,10.36
26,Pangnirtung,CA,2021-03-30 06:08:31,66.1451,-65.7125,8.19,94,100,1.79
